spiderg	paintingawai,0.805700421333	itsclair,0.793143868446	jaxonthepc,0.79126739502	chonnn,0.785060167313	iamernst,0.784685194492	mpaynor,0.784635305405	majordodson,0.781233429909	paulwilk,0.780350625515	jenwong,0.780012667179	mitz,0.778363704681	
rickmav	espisc,0.421374797821	radiodiscoluv,0.402927190065	sdvintagevixen,0.395509243011	coopertraci,0.38677251339	marcooch,0.384277105331	hrwildberlin,0.380741983652	loreleichas,0.36628061533	annf,0.364116072655	georgialeege,0.363656878471	boredddddddddddddddddddddddddddddddddddddddddddddd,0.362113773823	
caner	ergun,0.736692428589	zanequot,0.695236623287	bausch,0.64890396595	youquotdai,0.636847138405	happijenni,0.623159766197	waldoplodd,0.623154878616	jpmeldrum,0.617376685143	goinv,0.61467218399	aswelik,0.61047399044	hnuttal,0.60587567091	
scrawledinwax	bigmommayo,0.55878585577	joeyzxc,0.55453646183	faroundtheworld,0.532499194145	rikkusarah,0.528789579868	erialccasasanta,0.524676263332	nighted,0.52456587553	harveyjam,0.520229399204	serviceblogtalkradiocom,0.519110202789	ongonna,0.518040120602	gordonshumwai,0.510121047497	
celibatman	cajunmomma,0.715618729591	impossiblehuh,0.704868257046	shamsew,0.701595425606	jenniferfotop,0.701547265053	worryampsad,0.700907468796	jedit,0.698920369148	makediffer,0.697194576263	lismox,0.694407105446	zenhuan,0.691120684147	razvanphoto,0.689872860909	
orangejessi	onlymobilenew,0.504572749138	kellymichel,0.494416356087	janamontana,0.489738613367	louisenorthx,0.483384639025	kevrob,0.478933364153	burninggoat,0.475394785404	aleserrallonga,0.468177497387	abcdol,0.465432912111	funhousebut,0.456757068634	poopiethat,0.453843772411	
marstheplanet	wuvvv,0.800231933594	thefreestman,0.795333385468	cecilallaga,0.795142769814	galletita,0.795142650604	nejo,0.791107535362	ordelbarco,0.787958741188	waterdolphin,0.787770986557	megabum,0.787426233292	bunchessss,0.787142574787	jaylyn,0.778052330017	
gac	oshecute,0.854849100113	uhrni,0.852177619934	carcharth,0.850719094276	quenmamma,0.849798321724	cymrth,0.848507761955	sinth,0.847338557243	lucypop,0.844634354115	karswarga,0.843821465969	stkrj,0.842880666256	sheyluh,0.842748403549	
jakimann	llmfao,0.901060819626	dearlol,0.821329414845	moonfamili,0.81211322546	chassidi,0.809132933617	dancesamd,0.806985795498	thingsplan,0.804570794106	tinkada,0.803101122379	drquotmindysquot,0.800089120865	letterstoryan,0.800045490265	wordsofthedai,0.798378825188	
eliotquot	tjek,0.727519154549	kingdolsol,0.717648744583	jerker,0.716739654541	blooper,0.71281182766	wwwyoutubecomnatashaxnerika,0.709066987038	desandn,0.702755689621	oliveher,0.70031774044	crashintomyarm,0.699146032333	fatfingerz,0.698486089706	godquoti,0.690325796604	
yusaf	clarafend,0.95364266634	djuniti,0.870689153671	tayofsupasavi,0.860789775848	bweiss,0.855688989162	shm,0.853564023972	ena,0.849459052086	imdaparti,0.849400758743	yesssssh,0.846020281315	marcelass,0.845418214798	beatsfory,0.843273878098	
igual	shodam,0.953043937683	entonc,0.949911892414	bych,0.94864410162	umur,0.948601841927	khob,0.947021186352	coffetu,0.94615226984	ngurusin,0.944932997227	dimana,0.944763600826	jsou,0.944581389427	likonog,0.944539606571	
brkebun	usahlah,0.946613907814	bericicicuit,0.845744132996	ampun,0.83277708292	viermi,0.831822574139	dibe,0.830875277519	menjijikan,0.82591342926	sigu,0.825266003609	gituh,0.824738025665	makasih,0.824513792992	thmrk,0.823521375656	
phillynew	jerseynew,0.776675522327	nprth,0.588366448879	georgepalin,0.587173819542	insanelight,0.553863823414	aremysitesup,0.549932837486	mmhmmwhen,0.540343165398	hummmppfff,0.538383364677	setbuild,0.537198066711	ooglayi,0.535179138184	ichigobox,0.535055696964	
geekbeer	antifish,0.73176574707	fancher,0.726168870926	rdmpage,0.725537776947	unsurprisingli,0.718173503876	fabulista,0.716779410839	nowsothei,0.716052055359	whyit,0.714660763741	closerso,0.714430451393	colingalbraith,0.71196949482	mwh,0.710351228714	
malefemal	guster,0.836529254913	tubilino,0.836260676384	quotbeauti,0.835508584976	agentspymonkei,0.833444952965	playedth,0.831217288971	joechapman,0.83082818985	quotthes,0.829540789127	allkpop,0.827659249306	sayyyyyquot,0.827061891556	quothumanquot,0.826475381851	
jamlikespeenz	airforcelax,0.801438391209	charzlott,0.792533397675	nothah,0.787408590317	cutealici,0.785227537155	kimboi,0.78167617321	nobodyyi,0.779622972012	hodpit,0.777994036674	danasuhaili,0.776559531689	aishajcr,0.776282668114	alexsjk,0.77572542429	
rickman	alanllevi,0.833720743656	kheng,0.803068101406	iggyspacecadet,0.802297711372	qout,0.79973423481	bonnieglick,0.799168348312	casablanca,0.798601269722	aricsqueen,0.797444403172	kuliahl,0.797051429749	rachelcw,0.796827197075	quotmarniequot,0.7962692976	
kimboorleele	falfa,0.539616584778	mailproblem,0.528185248375	wordyanansi,0.469138503075	ynoe,0.449143528938	datelinemysteri,0.44908207655	theremina,0.446505457163	pohz,0.445561051369	ckhoman,0.42968070507	picbug,0.427428543568	easyfor,0.421215832233	
canel	susanb,0.790524721146	indreamsforev,0.769513607025	accessoryami,0.765826702118	analovestito,0.765529513359	srbmalik,0.763127088547	itlik,0.758751392365	mikead,0.757480382919	chromachri,0.757270693779	augiebop,0.756221473217	aubineri,0.75600117445	
christyaltomar	youtubecomawesometheatrekid,0.876901805401	yorli,0.776990532875	thechz,0.767993152142	poohzi,0.767603993416	hannuhhhx,0.765155434608	ladymimin,0.764117479324	deviouslilmess,0.762232422829	strikertattoo,0.76173722744	trexyreich,0.761333823204	ttbl,0.760401427746	
sigfr	lovita,0.744867146015	noylth,0.67036151886	almscliff,0.635599136353	geekettefi,0.621783137321	caricaturist,0.620976030827	melissasmirn,0.619403839111	messiest,0.61660951376	minsto,0.612606227398	libertyluv,0.611390411854	hereboredwith,0.610818862915	
museumsham	holucast,0.913288354874	turkeyburkei,0.68463408947	callumla,0.673741340637	particu,0.668956041336	hyperboledav,0.668654441833	thulikescloth,0.663898348808	raphaelbrion,0.661660194397	brucru,0.659122943878	hynk,0.658057928085	whatevswhen,0.657507538795	
lolllim	trizzi,0.756851792336	sicklili,0.743081927299	bradleyjean,0.738659799099	ipunkybphresh,0.737511575222	frackin,0.732995867729	andrewt,0.729936599731	daddyold,0.729809403419	kabom,0.72925567627	callmecourt,0.729072213173	bokken,0.72792994976	
parametr	wwwsmsohneanmeldend,0.854611873627	yepwestern,0.841999948025	veneta,0.841486036777	amirkhanorg,0.840668559074	inksnatch,0.840371489525	blogperson,0.840098977089	falahklahla,0.838526844978	espananew,0.837736725807	spica,0.8375223279	candychang,0.831691861153	
dknorr	heidikri,0.560103297234	constr,0.492225587368	hippopblog,0.48535990715	waitingfor,0.484337747097	vitalimport,0.470605999231	dothei,0.455042243004	goodbyeanimosityblogspotcom,0.450368106365	mayasineadbbi,0.444543719292	bookshelftv,0.444356262684	newtrak,0.437384814024	
canuckcrippl	colach,0.658469974995	tapdancr,0.657611608505	westwaleswitch,0.649791240692	tiffchan,0.644913971424	citysalsa,0.64448595047	josemalonso,0.643340826035	droppnig,0.640564322472	scrapkitten,0.638774037361	americanadian,0.638088881969	boglen,0.636509776115	
stephbfli	fwendsso,0.813889622688	novagiovanni,0.812913477421	bellazaza,0.801477074623	designfloat,0.800759851933	dwel,0.794256031513	lexercis,0.786013185978	apsalvator,0.785868644714	xnikkibabi,0.78159236908	marcelavisco,0.780102968216	familiarhahahaha,0.777159929276	
pigment	tanganku,0.82429599762	zmoen,0.817953765392	waltzwithbashir,0.816517353058	eftadopt,0.812199234962	murkrant,0.811353802681	bulamadm,0.810498774052	transwarp,0.808365643024	constat,0.808339476585	digital,0.808134555817	luxeffect,0.807996273041	
hst	mcguinti,0.614978313446	evenlytoo,0.517376661301	alphalim,0.505529284477	searchjaunt,0.488493859768	yota,0.482819139957	triggerstreet,0.478271067142	yungbz,0.476561754942	selfishfamili,0.473353803158	incom,0.469702601433	kingja,0.465351611376	
kristinajo	detailedsigh,0.678171217442	londonb,0.670781672001	aznmichel,0.651062607765	ouchwait,0.647110462189	reamer,0.646900653839	alannahscott,0.646039962769	onehalfmokha,0.638869404793	ghostlikeswazi,0.638553261757	animeshiredan,0.637084424496	nightmarepleas,0.635756850243	
pattymlt	geekstev,0.688728094101	waitlak,0.642226099968	everyoneawsom,0.63982373476	dsmilingjen,0.637943863869	bitchessssss,0.634853601456	juliebean,0.634447574615	onlytonya,0.630298674107	gryshe,0.629645943642	amycran,0.629132986069	chitowni,0.626056492329	
bitebut	performreleas,0.751518249512	asdfkakhdka,0.741362988949	tircd,0.734040260315	sonicpro,0.727593898773	christhesoul,0.718755245209	krissyibiza,0.712822556496	butterflyspark,0.712067306042	spiralstil,0.709541916847	behop,0.700996398926	michaelbuckl,0.700618982315	
bbearr	sotwet,0.565135121346	billpritchard,0.552570462227	jasongonzal,0.546486377716	couchhow,0.546079516411	shiyonshi,0.545159339905	bryanthund,0.543707489967	sophiehelen,0.542650640011	ambio,0.532471477985	brianjam,0.532098352909	momentoftru,0.531570017338	
bdiako	balconi,0.664931356907	tingtingts,0.639449238777	grahamsmith,0.615513026714	patio,0.592079997063	leilaboujnan,0.572650074959	eknopf,0.566155970097	buildong,0.560849010944	junglesh,0.558992743492	sinnerman,0.555873632431	viewlov,0.546497702599	
cindywrightson	nuevavoz,0.795297265053	jmeburnett,0.789699435234	btvsmb,0.788712859154	musicsbb,0.787111759186	patduart,0.786856293678	quotuganimu,0.783462882042	destinnear,0.782604813576	gedreht,0.781880021095	carolazerlin,0.78080368042	alvinyudistira,0.779774069786	
spideri	athanasian,0.872318327427	bonniespurpl,0.868929862976	primaveron,0.868613243103	freetotri,0.866818547249	twitjobslondon,0.864359259605	googlu,0.863742947578	netko,0.863266408443	mytouch,0.863030076027	mou,0.862874925137	harttwohart,0.862132430077	
ribsim	tnaphi,0.9310734272	bajj,0.833229064941	ahola,0.822305202484	bersihhh,0.820217370987	dal,0.818094432354	seltzer,0.81775188446	teeheehe,0.812992811203	knopper,0.812795042992	djtinytim,0.812559723854	mmmmeat,0.808644533157	
twtrbrry	pongam,0.824754595757	mainnya,0.823162913322	hjrtat,0.820521056652	quotkarl,0.818055272102	uhmmso,0.817180991173	atencion,0.808322548866	relaxxinqq,0.806310534477	veanm,0.805874109268	gunain,0.804894328117	mcchk,0.804655432701	
jrpg	manaft,0.853017926216	pavadt,0.847687125206	adj,0.843209147453	boothphoto,0.842363715172	wanopanog,0.841583013535	dehiwala,0.83932775259	aprontando,0.836721777916	lialen,0.836207985878	tombobblend,0.836076021194	alistairrobert,0.8359156847	
weell	demoiselleg,0.693647384644	debbbbbbbbbb,0.690041601658	jerryyi,0.688102006912	heymarjmiranda,0.681074976921	rpickart,0.679378032684	moyhead,0.670372962952	adhit,0.668541908264	heeymari,0.66802328825	yahforchelsea,0.667542099953	jamagirlbritt,0.667039036751	
tweethug	mavisq,0.724815368652	brittanybreann,0.718949437141	cabezalana,0.710901141167	youbig,0.704404115677	qitah,0.703612089157	damewilbur,0.701264023781	evilhippiechick,0.699142694473	justinbarlow,0.697884082794	micheleamadesi,0.697507500648	lovesend,0.696084618568	
commiewench	rapppp,0.758694767952	effortyepim,0.752563774586	cindyhm,0.749033927917	catchyi,0.744558870792	jenin,0.744008541107	rachelsexton,0.743966937065	yacineshould,0.74219918251	dylanchas,0.742059588432	lieespeci,0.739785313606	jamminn,0.739449799061	
hellopicasso	bestjustin,0.900595784187	amwhyyyyyi,0.884214162827	michellekrewet,0.877607703209	anthonyfontana,0.869576692581	biglight,0.867527782917	oritant,0.860939443111	roxiegirl,0.860672712326	gypsyrobot,0.857036828995	huhuhuhuhhuhu,0.854839682579	throughthemist,0.852357029915	
kaushal	rbai,0.88916093111	buzzdonna,0.886534750462	ades,0.884369790554	webmarketingmav,0.87953877449	prrrrrrrrrr,0.878756284714	pinkyou,0.876769661903	diddiu,0.876760840416	kocovin,0.876716971397	davehershei,0.876286625862	parabn,0.875735163689	
quotfindquot	lbrittric,0.540198922157	hardweirdunforgiv,0.531337916851	myweaknesstal,0.524997889996	portchuckl,0.517667591572	superneek,0.505578279495	pmnot,0.500302433968	hitchedsh,0.498130381107	bbbuzzzzttt,0.494460701942	enjoychang,0.493667542934	castielsam,0.485344260931	
yeffreyb	cianshortt,0.567599654198	sistapeep,0.535773396492	christianfarlei,0.517881631851	quothmm,0.51678609848	poetrywat,0.514662504196	poresquot,0.512409865856	dustyros,0.505396485329	tomoon,0.502047479153	codedli,0.501178622246	readerquot,0.500996351242	
wooden	cardboard,0.788004517555	rug,0.787267565727	underneath,0.783399701118	tile,0.78333324194	slab,0.77384519577	mop,0.767249107361	straw,0.756896018982	stash,0.75559669733	tore,0.755322337151	shred,0.754778981209	
teehhe	sitesappsaimtwitterfacebookhotmailetc,0.617610752583	thingsit,0.507589042187	diannnabe,0.495238780975	lttcgt,0.480640143156	ywice,0.479330182076	sadddddddddddddddd,0.479207277298	ohhhhkay,0.478167712688	uhohloo,0.47512024641	noushkamari,0.467461526394	frickfrick,0.458130002022	
ysolda	tau,0.761567175388	sui,0.761151134968	nhip,0.755705118179	andistancu,0.752997756004	troux,0.750234127045	ghat,0.736114680767	buch,0.73339420557	cabina,0.733080029488	lihat,0.731134295464	pq,0.728204011917	
tweethum	corectt,0.673253059387	quottweet,0.668545603752	devicesh,0.667148709297	taracandelaria,0.660752892494	tweetsgtgtgtgtgtmi,0.65163064003	twitteringtonhappi,0.651009202003	skelli,0.64998281002	honestthi,0.649266660213	kryptonlog,0.648411750793	suicideblond,0.648191392422	
woodeh	beltwayspinn,0.56787031889	ryansean,0.528141736984	lightno,0.520515799522	roborees,0.514158844948	sbq,0.51169860363	teammor,0.511248469353	quotthem,0.509885489941	samidelux,0.507620751858	bakground,0.50578469038	mfinal,0.505339503288	
amystar	raract,0.862097978592	jasmyn,0.859909296036	kendarwut,0.858040928841	marthafdz,0.857635140419	gundownthestar,0.855208516121	vtalli,0.854503929615	mssn,0.851923108101	himynameisl,0.851697683334	maurensoar,0.85039550066	yaseminx,0.85010266304	
spacman	pinoytarsi,0.647241592407	hungryh,0.645314335823	muahh,0.627030491829	moviez,0.626813292503	andrewplaysbass,0.625733911991	earlierhaha,0.621955990791	ohyal,0.620658636093	ruggedcwbi,0.61871111393	handrol,0.617029190063	locostambien,0.615911364555	
jblivesev	amytopp,0.638098180294	cyclepath,0.626299917698	eddyhendergrass,0.60843193531	bevir,0.594133138657	foxtoledo,0.593879640102	broccolimcfli,0.588491916656	baronx,0.587433457375	starrkisst,0.586187720299	ogura,0.580353796482	aroundboo,0.579435586929	
iamthebench	datein,0.711783230305	entenmann,0.684501767159	wordwel,0.673672914505	devd,0.673428177834	whitk,0.6710537076	emileezi,0.670030891895	phucc,0.666979432106	erikasoni,0.666165590286	rhadawai,0.663740158081	ashiketchum,0.657009065151	
theophilusl	monqiuewoodz,0.808924674988	morethen,0.805126190186	vele,0.800305485725	skoolll,0.797577023506	snackahol,0.79223126173	countryladi,0.787041664124	spilira,0.78688955307	libertyvil,0.786552548409	thesarahc,0.786519885063	satsov,0.786097407341	
emrecio	yayschool,0.782688736916	stacymartinez,0.773555934429	radulescu,0.754731535912	ibethyca,0.754359602928	waveappreview,0.753801167011	eyessss,0.746853947639	twitterathon,0.739569842815	drumcorp,0.739350318909	grenadaspic,0.738558471203	danielzarick,0.733296871185	
hannahwong	monthniccc,0.80794274807	htei,0.786658287048	bunniespoop,0.777768075466	stupidth,0.776273369789	lregla,0.775759339333	dirv,0.77571439743	sclarkson,0.775320053101	nodlov,0.773904204369	arindri,0.773062705994	mlskidmor,0.769447207451	
finalsso	funjustinbieb,0.773577868938	waldi,0.772562801838	michellev,0.757532596588	frostoftt,0.742674350739	davidolski,0.740879535675	anietasai,0.733129858971	nathanbonnalatayalouis,0.731112897396	plansuh,0.725115180016	plntenbakfiet,0.724346101284	prinkim,0.720378279686	
frontno	brtlightspher,0.875879526138	situationcheck,0.863910198212	posingy,0.859545946121	nonloc,0.85821723938	thumyeemun,0.853345990181	mishamous,0.848927497864	quotcontrollingquot,0.848226010799	magicabula,0.846876084805	hynk,0.846122324467	cutegood,0.845779895782	
thrace	tuhihi,0.803363323212	okfals,0.802491188049	dmna,0.796859502792	pulgarin,0.789904594421	pashaf,0.788271486759	gumpsad,0.788075327873	rosastergio,0.786904454231	uniocorn,0.786596059799	jmywonton,0.785068631172	samesamesamei,0.784442901611	
jamjam	shakeit,0.83334851265	sillycow,0.830471158028	professorsbit,0.815796613693	poppybe,0.809974312782	sproglet,0.808444321156	saudiaspir,0.804509460926	smana,0.803279042244	acidamb,0.80174356699	ikeaampomg,0.800680816174	thanantho,0.800634741783	
bbqz	nettoprinzip,0.706228971481	sleephenc,0.702673375607	uoxouyuki,0.68304425478	aybeelaurel,0.671273708344	doctahana,0.668597698212	bedcomfi,0.667269647121	kitchenoh,0.667168200016	concertr,0.666967153549	sprintno,0.666774868965	wwwsbcnet,0.665947556496	
bbqy	grievousangeluk,0.794140934944	ryuganji,0.792694568634	cresceu,0.786719441414	kbacktosleepnow,0.785199165344	mingwu,0.785076498985	shortnew,0.784431040287	youlong,0.782970249653	ehhhhh,0.782847285271	ungoverok,0.781764864922	brendash,0.781678915024	
thrack	sweetpxxx,0.676340043545	leatherp,0.66967010498	youngmclayton,0.657042443752	greyeyedgirl,0.651691734791	bnewendorp,0.630455851555	cmwalla,0.626579046249	gigastormz,0.625313580036	cindolc,0.621926188469	mollyjoshort,0.617286264896	lauraeclips,0.613946974277	
danielvmaschio	hayzu,0.612116277218	snowboard,0.572184741497	jaunt,0.563138246536	quickerand,0.559933960438	valenki,0.55447280407	augusti,0.551822900772	raft,0.545206189156	drivewayyyyi,0.543715953827	kevampm,0.542098343372	coldfluand,0.539413094521	
snugglei	kaosi,0.835724830627	itsfebybachtiar,0.587510764599	trollz,0.568828582764	ngondn,0.555700004101	disneychannel,0.553112626076	mightli,0.546053528786	clerc,0.544051647186	tigr,0.540709137917	thefresnan,0.538628160954	princessducki,0.538518369198	
todayblahh	nowgttv,0.765508472919	kaninang,0.728656053543	marcuskgmag,0.716595828533	sundaygloomi,0.716313004494	faroff,0.714018940926	interestn,0.712567985058	michaelduval,0.712131679058	brrapppppp,0.711131215096	jimmyneedham,0.710134267807	sleepughhhh,0.709150016308	
juliananana	edoed,0.416659474373	nlsimpson,0.403978347778	wirksworth,0.396816134453	palmereldritch,0.393775671721	cruiseeveri,0.38946813345	vannahbanana,0.387334942818	sissylt,0.384007006884	flipclamshel,0.382227003574	blueroom,0.37292766571	laundromatt,0.372152239084	
pulavar	ilovesa,0.848625361919	johnembrac,0.847560048103	dialoug,0.843944132328	alymoeclo,0.842053890228	priek,0.839557409286	anewmod,0.839273571968	followi,0.83879083395	quotloadsa,0.838131427765	cookiescheck,0.834901094437	justask,0.833953499794	
amystat	chicchick,0.773115694523	direy,0.728997588158	jordanrocksawk,0.726718068123	catinga,0.712625741959	siytatu,0.708622813225	mandyliz,0.703088760376	pockethaha,0.702972769737	bowlerev,0.69711625576	joemikeobi,0.696983397007	jadestella,0.694866418839	
iljitsch	adamkeun,0.706925034523	edwinvann,0.688562512398	enzoperfecto,0.653528094292	jessicaridlei,0.652238488197	herlihyclark,0.651852369308	katybairstow,0.640589356422	jasmineciao,0.640566766262	fukumimi,0.634505987167	aljamiat,0.6172529459	juleswriteslov,0.614259064198	
jhef	yeapth,0.610406398773	skullkingdom,0.574688434601	elaci,0.574421584606	glenngouldfndn,0.556964874268	mauijam,0.553717076778	gitnmybelli,0.548690319061	girlrd,0.541207373142	laurieplanet,0.540059387684	petersahahhaha,0.537341892719	linksamp,0.5353987813	
christinav	ewndom,0.432873696089	missmadelin,0.429472953081	bthoenissen,0.418531954288	quotsmarti,0.412764579058	hellhello,0.398451954126	floridagirlindc,0.393869161606	carwashouch,0.382796168327	tommyreza,0.382475018501	destrytwitt,0.381325125694	cmpurpl,0.377094328403	
jamjar	sariblau,0.737203419209	caitlinalexjennaflojasminrachryanjackmarcuscraigmattdavidstephenalirossdecadamcammyamp,0.731187582016	stokin,0.731172263622	domgreen,0.730639874935	yezzzzzzzzzzzzir,0.728470444679	yayai,0.725248575211	tomorrowwellprob,0.724716424942	napervilleil,0.719344139099	zombgrrl,0.710943102837	aninjamilkman,0.710871219635	
bbqi	savigarbowski,0.836080789566	ajeb,0.83099770546	bundai,0.825760364532	allantheman,0.820737838745	nmmaster,0.819842100143	geldi,0.818676590919	iusethi,0.817263066769	angiz,0.814469337463	prediabet,0.813467621803	dayafternooneven,0.812802016735	
frienddsss	hanggingg,0.876308679581	passionfruitici,0.794398486614	cominq,0.789286911488	bobaexpress,0.788117527962	okie,0.787937521935	qng,0.787914156914	bearrr,0.787466406822	ashleighhdavi,0.782677233219	herrr,0.779132723808	someone,0.778720974922	
jhem	quierobailar,0.837854206562	joannab,0.812426328659	theineffabel,0.811903119087	thnxxx,0.804441213608	whaz,0.803714752197	jdafilm,0.803209781647	wozlewi,0.80188035965	gnyt,0.801034450531	diddiu,0.800715088844	movestil,0.797072172165	
finalsss	examz,0.847315788269	packingg,0.84164249897	readyfor,0.839411735535	schooll,0.835899949074	studyi,0.834338486195	auntgirl,0.824920773506	boredddd,0.815759658813	examss,0.8149985075	tiffylaw,0.814496815205	cba,0.814066410065	
jhen	bosx,0.676470279694	ayehav,0.674496293068	completoo,0.671620368958	kuwtk,0.667222499847	omarmusa,0.659293293953	teleshop,0.654206991196	zull,0.653101980686	movieh,0.652096271515	uglysuit,0.645137429237	sfkitchen,0.64345574379	
creativenovel	arrgghhhggguissshhhh,0.653234601021	rudimentari,0.615743041039	implement,0.59511423111	emefi,0.59502851963	martinrol,0.592205047607	knowledg,0.591191351414	educ,0.589410603046	analysi,0.577771186829	perfectragedi,0.566433787346	wrtx,0.564331412315	
writinginct	ctrlzed,0.554379343987	acominit,0.534655570984	prescriptionquot,0.532636165619	htmlphp,0.529512047768	leun,0.515813469887	climat,0.513949394226	supervegan,0.513850808144	thejoemil,0.505693495274	jovannucci,0.503909468651	mondayslol,0.500646948814	
richiepunx	quottest,0.746191263199	jailbail,0.737985670567	gmorphem,0.732738375664	eatinqq,0.730578482151	lovelyim,0.729053795338	begitulah,0.728455305099	skt,0.726492226124	stevennewson,0.725984036922	mistransl,0.725893199444	enticem,0.725574553013	
mamatakin	ohisarah,0.658765673637	itseliallwild,0.633952021599	honeybeth,0.616515576839	loudfashion,0.60848236084	marcorodrigo,0.605378866196	joshuahuffman,0.605142354965	tessftw,0.600340485573	juliangallo,0.598152041435	hkar,0.597898721695	erikadavid,0.593835234642	
