stock	equity,0.525099
christ	christianity,0.589255
wreck	crash,0.716124
worsen	aggravate,0.704418
thunder	roar,0.510105
chin	forehead,0.637789
beaten	beat,0.669524
orchestra	symphony,0.817164
asia	africa,0.600644
children	child,0.725948
spokesman	statement,0.535648
haze	fog,0.615518
sunder	obliterate,0.459548
toll	burden,0.352337
supplier	manufacturer,0.742854
suppose	guess,0.786578
upward	westward,0.457681
ever	never,0.558279
succumb	resist,0.581503
told	said,0.646383
specialist	expert,0.633879
agreement	accord,0.747101
million	billion,0.805674
crouch	stare,0.486906
avert	avoid,0.655089
join	participate,0.62741
human	mankind,0.534641
never	not,0.631711
drew	drawn,0.618871
herd	sheep,0.642906
natural	unnatural,0.503076
met	meet,0.655016
wanton	reckless,0.582381
china	chinese,0.468769
pursuit	chase,0.63827
aid	assistance,0.697362
cult	fanatical,0.514724
path	route,0.593279
shriek	scream,0.756078
interpret	construe,0.589305
dry	wet,0.676895
chaotic	chaos,0.634778
voice	whisper,0.443585
daughter	mother,0.870624
forum	discussion,0.561076
salami	meat,0.530334
auction	sale,0.61974
settler	jewish,0.381989
jail	prison,0.850191
credit	loan,0.555965
cogent	persuasive,0.598567
mentor	confidant,0.554459
smoke	smoky,0.549696
Queer	gay,0.697269
threaten	endanger,0.728818
Home	house,0.56178
anarchist	fascist,0.559694
menial	job,0.434257
mutual	reciprocal,0.579964
golden	glorious,0.550058
hunch	intuition,0.534934
campaign	crusade,0.460688
ground	soil,0.403231
scold	chide,0.732551
loveless	lonely,0.534795
FUCK	goddamn,0.699395
brought	bring,0.667576
uncivil	disagreeable,0.520782
moral	morality,0.726015
stern	resolute,0.52837
total	cumulative,0.610213
unit	division,0.484249
plot	conspiracy,0.51248
sexual	sex,0.769474
spoke	spoken,0.694868
would	could,0.83232
Buffalo	goat,0.568243
magnify	amplify,0.650167
bleed	shrivel,0.506385
plod	trudge,0.61715
program	initiative,0.540682
call	phone,0.477758
calm	calmness,0.645056
passport	citizenship,0.560615
recommend	consider,0.603242
strike	union,0.509213
indiana	missouri,0.693293
type	kind,0.666641
tell	know,0.735671
main	key,0.539417
setup	configuration,0.513269
relax	relaxation,0.665732
successful	success,0.616758
remark	outburst,0.548506
hereby	herewith,0.579207
reign	domination,0.481417
hurt	injure,0.592662
grief	sorrow,0.754967
phone	mobile,0.559307
connecticut	massachusetts,0.644476
warm	chilly,0.663957
surgeon	doctor,0.67934
adult	adolescent,0.565991
excellent	terrific,0.740973
organic	dairy,0.451833
hole	shaft,0.453862
hold	held,0.670178
tariff	subsidy,0.551508
influx	surge,0.499811
origin	nationality,0.550767
must	should,0.77477
shoot	shot,0.602124
tnt	i,0.559587
word	phrase,0.677703
wore	wear,0.712059
err	presume,0.387969
player	league,0.535998
Text	page,0.478544
sweeten	lure,0.457803
work	job,0.5103
somber	solemn,0.686021
roof	ceiling,0.509949
whack	smack,0.409708
cuddle	hug,0.529123
era	advent,0.488452
install	installation,0.670117
akin	analogous,0.624275
root	eradicate,0.442508
transgress	inviolable,0.465911
quarrel	dispute,0.662764
phrase	word,0.677703
defer	postpone,0.670432
give	gave,0.741239
hemoglobin	serum,0.592599
unjust	unfair,0.646277
household	family,0.39256
flung	thrown,0.661179
assent	approval,0.541043
heartless	callous,0.745506
impair	impede,0.681909
caution	cautious,0.563171
want	do,0.73858
violin	piano,0.822819
mail	correspondence,0.43414
Lord	god,0.635028
keep	kept,0.770602
attract	lure,0.673584
risk	probability,0.593869
end	start,0.438184
stride	rhythm,0.430375
anguish	agony,0.768602
travel	trip,0.569098
Attention	notoriety,0.498088
vagrant	wanderer,0.583934
damage	harm,0.547137
revisit	reexamine,0.65922
machine	machinery,0.526084
how	what,0.682036
amazing	incredible,0.9054
keel	hull,0.461563
silent	silence,0.530984
low	high,0.742189
hop	ride,0.509189
answer	question,0.585762
gate	entrance,0.573114
widespread	rampant,0.557841
ancestor	descendant,0.694723
beach	seashore,0.689633
blanket	comforter,0.50635
dialect	language,0.57246
fever	feverish,0.553787
beauty	loveliness,0.582896
mess	fiasco,0.608224
cadillac	ohio,0.446733
ladder	rope,0.48828
after	before,0.75833
vicious	savage,0.713089
ball	keeper,0.499174
less	more,0.809988
modest	meager,0.576182
mesh	knit,0.438991
mph	speed,0.497597
retain	maintain,0.658859
waterfront	harbor,0.585917
president	chairman,0.670874
law	statute,0.676128
arch	wall,0.406313
parallel	analogous,0.473146
stronghold	ally,0.421189
profess	despise,0.571894
attempt	effort,0.643588
splendid	magnificent,0.840876
third	fourth,0.900242
amid	amidst,0.735578
revolt	rebellion,0.835741
greet	mingle,0.570336
childhood	adolescent,0.52562
greek	fraternity,0.470725
maintain	retain,0.658859
green	red,0.536024
jungle	bush,0.48857
goodbye	farewell,0.744353
suggest	indicate,0.750087
aloud	read,0.507303
fan	fanatic,0.546417
Trust	confidence,0.478655
wing	radical,0.407055
wind	breeze,0.592048
wine	grape,0.678394
blind	deaf,0.490517
untold	incalculable,0.621085
relaunch	launch,0.610504
devote	dedicate,0.743355
consent	permission,0.662016
over	past,0.585971
zen	serene,0.517771
unselfish	tenacious,0.506982
sickly	frail,0.588518
Brand	product,0.50095
london	england,0.624937
keyboard	guitar,0.546592
japan	japanese,0.660772
windshield	headlight,0.624757
mayor	city,0.675115
Told	said,0.646383
unicef	uganda,0.434165
Hit	struck,0.578173
gallon	gasoline,0.688509
fit	shape,0.504884
personal	own,0.451606
fix	repair,0.588194
blown	blow,0.448396
thrust	brought,0.387472
crew	aboard,0.498547
better	worse,0.6249
tramp	vagrant,0.559927
accord	pact,0.783686
fig	fruit,0.508596
fade	disappear,0.630404
mistreat	mistreatment,0.534416
hidden	hid,0.643353
pass	sneak,0.454447
split	divide,0.556459
then	when,0.651351
coffee	tea,0.563529
iowa	michigan,0.689538
woken	woke,0.736272
enrich	enhance,0.60749
thee	thy,0.687414
safe	unsafe,0.548174
birth	newborn,0.597848
school	elementary,0.786863
trail	road,0.490392
break	broke,0.61656
band	album,0.575312
shameful	disgusting,0.713554
they	we,0.64881
interrupt	disrupt,0.637169
township	municipality,0.655169
sixteen	fourteen,0.852952
lifelong	avid,0.514019
silver	gold,0.831329
bank	banker,0.609295
scholar	historian,0.661838
gloom	gloomy,0.694259
grammar	vocabulary,0.573471
meat	beef,0.728638
debut	appearance,0.523303
good	great,0.729151
spotless	immaculate,0.613122
conflict	strife,0.607948
arrow	bullet,0.483525
treason	sedition,0.682803
went	came,0.714186
meal	lunch,0.706219
bone	rib,0.547286
mean	imply,0.620326
prohibit	forbid,0.874019
whim	capricious,0.471444
pretext	guise,0.615245
garment	textile,0.654754
solution	solve,0.48488
owner	proprietor,0.704992
taught	teach,0.773582
forgot	forget,0.592047
magazine	publication,0.556012
dawn	midnight,0.569099
Type	kind,0.666641
message	letter,0.479799
whip	summon,0.356926
clothe	destitute,0.481195
contend	argue,0.701858
depress	weaken,0.636657
by	being,0.408844
unbound	unfettered,0.429035
network	channel,0.456011
fraught	perilous,0.487601
god	goddess,0.651874
useless	worthless,0.729055
crucial	vital,0.820772
forty	thirty,0.922747
content	user,0.419873
fellowship	worship,0.41843
laid	lay,0.750971
adjust	adapt,0.693309
adapt	adjust,0.693309
reader	viewer,0.523073
lain	lying,0.458031
got	get,0.724483
washer	dryer,0.616035
partook	partake,0.593153
sluggish	weak,0.670295
Ill	sick,0.651342
outburst	remark,0.548506
smart	intelligent,0.649528
arizona	utah,0.637709
barrier	fence,0.503036
resume	begin,0.597494
veto	vote,0.439645
hang	hung,0.753978
Work	job,0.5103
lawless	desolate,0.488101
sheer	immense,0.55122
free	unlimited,0.406829
standard	specification,0.553071
bestow	confer,0.608782
thoughtless	irresponsible,0.606549
evil	wickedness,0.633545
mistress	lover,0.638711
hand	finger,0.507839
knit	sew,0.622976
fret	worry,0.733312
ate	eat,0.701399
convent	priest,0.580959
suburb	suburban,0.752522
ritual	rite,0.674032
cosmic	universe,0.615402
flawless	superlative,0.588663
renew	renewal,0.685812
hopeless	forlorn,0.577681
regress	regression,0.517816
loud	boisterous,0.560537
bite	bitten,0.563448
rancher	ranch,0.643721
size	height,0.52875
rang	woke,0.534879
naughty	jolly,0.532623
abolish	abolition,0.713895
thereon	therefrom,0.505399
grade	elementary,0.502715
giver	gift,0.485076
ecuador	venezuela,0.567682
thereof	thereto,0.588052
restrict	curtail,0.728256
wash	bathe,0.503417
instruct	teach,0.596242
seven	eight,0.961901
sober	sane,0.510781
thick	thin,0.578423
ditch	vain,0.433238
bitten	bite,0.563448
vow	pledge,0.738101
paris	london,0.555578
acquaint	familiarize,0.866006
their	they,0.61404
Mess	fiasco,0.608224
timid	meek,0.63667
top	topmost,0.550675
neck	chest,0.605703
historian	scholar,0.661838
fiction	novelist,0.630978
shiver	shudder,0.678768
master	genius,0.409295
too	so,0.713055
dwell	fixate,0.57644
recent	past,0.57349
bitter	acrimonious,0.659292
unbroken	uninterrupted,0.458983
toe	ankle,0.596532
urban	rural,0.594858
Search	hunt,0.507796
murder	murderer,0.665008
asset	investment,0.53483
grandchildren	grandchild,0.716149
luncheon	banquet,0.739709
took	take,0.665005
embellish	accentuate,0.533172
wisdom	sagacity,0.583755
scant	meager,0.544837
Benefit	reap,0.522885
motionless	lifeless,0.558307
incur	accrue,0.477338
western	eastern,0.88709
cereal	snack,0.569978
crawl	suffocate,0.467193
peculiar	strange,0.760638
rebuff	rebuke,0.598011
breaker	broken,0.47596
mercy	merciful,0.540116
peril	danger,0.649564
guild	union,0.453502
target	objective,0.449613
elegant	stylish,0.713385
coward	liar,0.677759
tree	grove,0.526688
zero	minus,0.466127
Sex	sexual,0.769474
project	construction,0.594023
matter	issue,0.511221
apt	likely,0.504928
street	sidewalk,0.696841
guilt	remorse,0.575483
cabin	galley,0.526609
iron	wood,0.476883
mirth	merriment,0.689892
devious	sinister,0.682986
misunderstood	misinformed,0.598907
minus	plus,0.549968
rag	cloth,0.460963
acclaim	renown,0.684495
entail	involve,0.747311
runner	winner,0.593318
boston	chicago,0.61846
modern	modernity,0.552689
mind	eye,0.394508
mine	miner,0.672929
ginger	lemon,0.546725
taint	stain,0.564254
raw	pure,0.439587
rat	rodent,0.685844
seed	round,0.437196
manner	way,0.460767
seen	shown,0.585855
seem	appear,0.598975
grind	plod,0.408814
seek	sought,0.631443
dozen	handful,0.643693
Ass	fuck,0.62904
ponder	contemplate,0.712944
strength	weakness,0.591971
realm	actuality,0.423032
alibi	evidence,0.519485
latter	however,0.436749
uncouth	obnoxious,0.642231
snow	blizzard,0.67026
impotent	ineffectual,0.68536
hamper	hinder,0.865036
chest	forehead,0.631519
client	customer,0.55653
punish	retaliate,0.60531
transmit	communicate,0.483971
pension	retirement,0.630054
rider	racer,0.611876
blue	red,0.722517
princess	queen,0.707053
hurtful	unkind,0.560767
panama	costa,0.494568
philadelphia	chicago,0.61367
basket	pointer,0.612264
shall	must,0.577686
iceland	thailand,0.548363
object	meteor,0.41066
toil	sweat,0.451886
regular	weekly,0.553345
mouth	throat,0.510391
addict	addiction,0.684911
letter	statement,0.610229
phase	process,0.434606
Patient	physician,0.605658
drought	famine,0.510743
coin	mint,0.400782
the	this,0.593738
grave	gravest,0.49114
Luck	misfortune,0.559887
zealand	australia,0.62681
hut	village,0.501511
singer	musician,0.735008
testament	demonstrate,0.509411
antitrust	merger,0.456018
grove	tree,0.526688
professor	researcher,0.679414
impostor	fake,0.487694
metal	aluminum,0.637576
dog	puppy,0.810643
yours	your,0.703913
solemn	somber,0.686021
storm	hurricane,0.73219
aunt	grandmother,0.877835
nineteenth	seventeenth,0.748312
consumer	retail,0.553858
scream	yell,0.784102
came	went,0.714186
marvel	wondrous,0.572551
advent	introduction,0.569258
discontent	dissatisfaction,0.782852
bomb	grenade,0.5874
pope	cardinal,0.660331
endear	alienate,0.625812
saga	fiasco,0.559421
visitor	tourist,0.601434
probe	investigation,0.794303
sage	wisdom,0.480462
cake	dessert,0.602908
quench	satisfy,0.523932
radio	television,0.611497
poison	poisonous,0.68925
rector	dean,0.635361
earth	planet,0.680285
twist	wrinkle,0.520183
nevada	colorado,0.641394
bail	bond,0.587883
bearer	holder,0.451383
toast	dessert,0.49266
peru	brazil,0.557342
acquit	convict,0.629815
latent	incipient,0.429888
spite	despite,0.775209
quaint	picturesque,0.608108
Big	huge,0.780985
explain	understand,0.704307
myth	notion,0.659424
Game	play,0.650118
cupid	comely,0.425061
sugar	cocoa,0.604876
here	we,0.563977
athletic	football,0.576754
bush	outback,0.492308
bliss	blissful,0.746726
disgust	dismay,0.736037
mend	heal,0.634235
folder	tray,0.48627
funeral	burial,0.680021
predecessor	successor,0.574831
do	want,0.73858
colorful	whimsical,0.613555
conduct	initiate,0.496024
stop	halt,0.608264
fluid	liquid,0.502116
coast	beach,0.519726
pocket	bag,0.453951
roundabout	highway,0.507257
wedding	bride,0.710435
report	survey,0.530266
reconstruct	rebuild,0.647946
haiti	japan,0.506569
Loud	boisterous,0.560537
relish	revel,0.628389
slack	weak,0.402349
bat	ball,0.483784
bar	restaurant,0.554521
distracting	distraction,0.706702
politician	legislator,0.700087
boarder	border,0.522649
excel	succeed,0.569994
patch	fix,0.43837
bag	suitcase,0.671536
monumental	colossal,0.743788
wane	dwindle,0.602121
mourner	funeral,0.469288
release	publish,0.423876
aesthetic	utilitarian,0.562356
steak	hamburger,0.634975
enchant	dazzle,0.615368
valid	invalid,0.618053
farther	far,0.479063
respond	react,0.694815
attest	belie,0.480384
money	cash,0.615122
disaster	calamity,0.740984
fair	equitable,0.529871
habit	addiction,0.460336
liquor	beer,0.600099
lemonade	lemon,0.510812
blameless	culpable,0.562039
resist	succumb,0.581503
pilot	plane,0.480991
result	consequence,0.738115
corrupt	corruption,0.675744
hero	idol,0.583287
scottish	scotland,0.600599
yes	yeah,0.645568
best	worst,0.583511
subject	topic,0.530268
brazil	spain,0.63142
said	told,0.646383
Auto	automobile,0.785605
away	out,0.575628
sail	voyage,0.63707
gentleman	gentlemen,0.652527
rough	rocky,0.606692
brandish	wield,0.510441
mud	muddy,0.63014
irk	infuriate,0.637339
finger	thumb,0.63588
scorn	derision,0.799187
drawn	draw,0.636606
previous	last,0.634379
approach	stance,0.565452
side	corner,0.437989
warrior	hero,0.556883
we	our,0.674881
men	women,0.767494
extend	expand,0.61168
handful	few,0.672234
weak	sluggish,0.670295
vitamin	calcium,0.61086
boss	manager,0.512156
southeast	southwest,0.922658
wear	wore,0.712059
extent	severity,0.565882
upfront	fee,0.447307
cousin	brother,0.798683
debt	loan,0.496902
roller	planer,0.420037
kitchen	bathroom,0.655694
pity	shame,0.702309
cop	policeman,0.657456
protect	safeguard,0.83288
accident	crash,0.803911
cow	pig,0.65421
disdain	disgust,0.664262
droop	sag,0.615325
fault	blame,0.548445
fifth	sixth,0.968028
movement	revolution,0.484798
against	versus,0.474155
Bring	brought,0.667576
brag	boast,0.626456
misunderstand	confuse,0.654965
logic	theory,0.561335
studio	theater,0.424358
sunshine	sun,0.676796
flee	fled,0.757307
station	radio,0.463444
tone	mood,0.563035
spear	sword,0.526467
character	villain,0.59703
vain	futile,0.611767
excess	excessive,0.534997
incessant	ceaseless,0.733994
canyon	valley,0.593041
written	write,0.61397
non	purely,0.366184
trumpet	violin,0.6012
trust	confidence,0.478655
speak	spoke,0.652722
accustom	familiarize,0.456866
bathroom	lavatory,0.699677
iraq	afghanistan,0.729323
jobless	unemployed,0.813683
recur	occur,0.603106
eager	anxious,0.722114
union	labor,0.531564
smash	hit,0.521894
three	four,0.970344
erect	construct,0.683404
blower	washer,0.556126
beep	audible,0.529151
commission	committee,0.675036
charisma	affability,0.62747
trigger	prompt,0.555334
communion	church,0.560044
afloat	alive,0.487532
interest	desire,0.435788
basic	fundamental,0.56979
fry	cook,0.529643
lovely	beautiful,0.810694
Soviet	russian,0.53501
warmth	warm,0.641878
idol	hero,0.583287
board	committee,0.520389
life	lifetime,0.429422
hearer	listener,0.528989
spit	vomit,0.49071
eastern	western,0.88709
suppress	repress,0.67803
Cry	weep,0.574816
excite	inspire,0.646594
uncommon	unusual,0.672635
wish	want,0.621069
millionth	fiftieth,0.444004
chill	chilly,0.635084
craft	boat,0.435654
chase	pursuit,0.63827
chile	onion,0.506987
Night	evening,0.809464
catch	caught,0.65422
deepen	strengthen,0.6322
spin	spun,0.642286
gracious	polite,0.631633
physician	doctor,0.780602
exception	except,0.443848
terrible	horrible,0.924392
tank	shell,0.378653
sly	wry,0.638042
affirm	reaffirm,0.718279
Dollar	currency,0.680923
air	skies,0.449343
aim	objective,0.716735
ugly	nasty,0.646539
near	nearby,0.606409
neat	nice,0.661674
motorist	driver,0.61522
coffin	funeral,0.502267
thrash	clash,0.358161
Follow	adhere,0.512503
balance	equilibrium,0.523231
reunion	reunite,0.567161
anchor	correspondent,0.365326
stink	smell,0.534671
conductor	orchestra,0.638784
have	had,0.660158
metropolitan	suburban,0.544201
mexico	usa,0.66858
is	was,0.654973
it	that,0.677556
sting	raid,0.417844
shame	disgrace,0.712697
Bush	outback,0.492308
eighteen	fourteen,0.850921
brake	axle,0.52658
brutal	savage,0.755221
jest	sarcastic,0.552922
in	where,0.566243
amour	romantic,0.475362
uplift	empowerment,0.490184
shift	change,0.611549
disappear	vanish,0.900423
if	unless,0.688205
grown	grow,0.688178
growl	purr,0.636909
recover	heal,0.592666
soldier	corporal,0.654909
perform	sing,0.527097
parish	church,0.677253
make	made,0.724642
wound	gash,0.465809
airport	flight,0.541361
rebellion	revolt,0.835741
forehead	chin,0.637789
utilitarian	aesthetic,0.562356
haphazard	chaotic,0.575539
complex	intricate,0.486619
descend	ascend,0.534804
monarch	monarchy,0.710805
several	numerous,0.794402
european	europe,0.73356
wheel	driver,0.527394
raid	attack,0.502953
fuss	commotion,0.51804
catholic	christian,0.597781
social	cultural,0.511133
rail	railway,0.765148
rain	drizzle,0.698552
adventure	adventurous,0.547831
delight	amazement,0.669667
seamen	seaman,0.673925
nix	reject,0.533627
depict	illustrate,0.601979
kin	widow,0.417092
ownership	owner,0.493343
supper	dinner,0.75961
jealous	envious,0.716029
hideous	ghastly,0.756199
haggard	frail,0.550397
tune	song,0.440134
kid	guy,0.724574
butter	bread,0.641726
upturn	decline,0.580643
vermont	virginia,0.606826
narrow	widen,0.527256
thy	thee,0.687414
dent	cripple,0.448436
smoker	drinker,0.508853
deal	agreement,0.676317
ocean	sea,0.764354
contact	information,0.464677
greatest	best,0.582413
mother	daughter,0.870624
clerk	assessor,0.512366
alabama	florida,0.709528
musical	artistic,0.623003
left	leave,0.525093
stringent	strict,0.741775
protocol	procedure,0.449587
capitol	legislature,0.44029
just	maybe,0.637281
yea	nay,0.61977
photo	photograph,0.845969
bruise	gash,0.645847
unfair	unjust,0.646277
marxism	socialism,0.598477
rodent	rat,0.685844
via	through,0.49876
spread	circulate,0.442835
victim	assailant,0.606548
plight	predicament,0.639324
extol	deride,0.559679
enlighten	educate,0.674672
thyroid	liver,0.507218
legion	horde,0.468124
had	have,0.660158
ideal	perfect,0.697014
hag	wench,0.514736
hay	bale,0.582598
shout	yell,0.769675
squad	team,0.678017
rumor	speculation,0.651827
prison	jail,0.850191
falter	sputter,0.620186
east	west,0.965322
hat	jacket,0.536442
gave	give,0.741239
desire	eagerness,0.686021
which	that,0.528708
Worth	value,0.484442
possible	practicable,0.505596
arab	lebanon,0.596921
boxer	fighter,0.71778
background	experience,0.462631
judge	court,0.697273
snap	grab,0.396528
shadow	cloud,0.404945
burnt	burn,0.547126
Wing	radical,0.407055
retreat	resort,0.397689
apart	away,0.52703
shoulder	knee,0.734855
gift	donation,0.545506
zeal	fervor,0.740503
contradict	contrary,0.621001
nude	naked,0.755884
hunt	search,0.507796
dishonest	deceitful,0.768119
remind	reminder,0.648615
transform	revitalize,0.607417
splendor	magnificence,0.775198
night	evening,0.809464
hung	hang,0.753978
slept	sleep,0.622323
battlefield	infantry,0.49419
right	wrong,0.553427
dean	professor,0.651564
creek	river,0.799444
crowd	audience,0.575785
people	children,0.516666
czech	belgian,0.598302
flatter	shapely,0.444426
crown	title,0.745463
System	mechanism,0.505881
dead	death,0.507604
revel	savor,0.659317
Beer	drink,0.636732
escape	flee,0.60656
dear	beloved,0.479462
animate	animation,0.517791
manifest	manifestation,0.495056
intellect	intellectual,0.627356
creep	crept,0.672215
sprawl	encroachment,0.462163
Life	lifetime,0.429422
youthful	young,0.537271
humor	wit,0.718681
combat	battlefield,0.472507
bottom	top,0.459825
Talk	speak,0.622128
establish	reestablish,0.728678
outspoken	vehement,0.600394
fox	squirrel,0.679478
ice	icy,0.563504
flounder	trout,0.615324
fog	foggy,0.655603
convict	acquit,0.629815
adorable	cute,0.790222
christmas	holiday,0.575956
officer	chief,0.622512
cord	wire,0.463405
core	fundamental,0.392816
shaker	mover,0.376332
Drop	decline,0.686986
Instant	instantly,0.626038
bold	daring,0.595398
peel	rip,0.466727
defend	assert,0.60951
brawl	scuffle,0.771474
corn	wheat,0.707756
burn	burnt,0.547126
blackmail	coerce,0.582246
discount	rebate,0.47423
yoke	oppression,0.478341
bolt	screw,0.443241
peer	informal,0.333638
post	office,0.346759
super	monster,0.388535
shaken	shook,0.632834
proceed	commence,0.503761
chafe	bristle,0.646132
crass	shameless,0.67883
gulf	divide,0.495306
conceal	hide,0.783064
Image	picture,0.52557
uranium	ore,0.578725
choke	strangle,0.615269
surround	adorn,0.422969
essential	vital,0.758942
dinner	supper,0.75961
despair	desolation,0.673175
banker	bank,0.609295
horizon	sky,0.454293
cherish	savor,0.550107
commit	engage,0.450879
aden	mali,0.412053
twitch	tingle,0.483378
rebut	disprove,0.597641
bombard	inundate,0.52082
croak	wail,0.507126
bath	shower,0.58712
sob	weep,0.601335
dilemma	quandary,0.877964
civic	municipal,0.545144
civil	criminal,0.477416
honeymoon	vacation,0.612991
profession	professional,0.515404
bound	unbound,0.357359
son	father,0.893309
down	up,0.639699
thankful	grateful,0.89773
ussr	poland,0.534352
wrap	sew,0.457554
old	boy,0.582814
insult	disgrace,0.483496
slim	slender,0.684343
squander	lose,0.521122
yawn	sigh,0.517152
fabric	cloth,0.609433
disinterest	apathy,0.684601
support	backing,0.600759
tennis	baseball,0.510965
sovereign	sovereignty,0.598455
sunlight	sun,0.726968
payment	pay,0.55207
avail	redeem,0.386258
stuck	stick,0.532218
aristocrat	aristocratic,0.726921
fought	fight,0.635507
editor	writer,0.618562
fraction	negligible,0.469344
goddamn	damn,0.749044
gin	brandy,0.61603
war	invasion,0.589211
telegraph	telegram,0.508987
fork	rake,0.42069
School	elementary,0.786863
head	director,0.518734
medium	term,0.364746
amateur	professional,0.580496
form	shape,0.419158
offer	provide,0.611201
something	anything,0.741505
magnificent	splendid,0.840876
heal	mend,0.634235
cuban	cuba,0.604707
oil	gas,0.710598
maxim	credo,0.679293
peninsula	island,0.629023
heat	humidity,0.595258
hear	heard,0.753151
solar	energy,0.532055
Defeat	victory,0.691086
safeguard	protect,0.83288
true	truth,0.529965
analyst	economist,0.643657
otter	turtle,0.671875
week	month,0.83652
absent	absence,0.629028
counsel	attorney,0.667675
misinform	mislead,0.672635
accost	harass,0.506905
muster	summon,0.487656
utmost	paramount,0.49256
reap	derive,0.576938
bargain	cheap,0.454367
crop	harvest,0.598849
until	till,0.661045
retire	retirement,0.719552
marsh	lake,0.622966
pest	insect,0.702247
anew	again,0.488117
emotional	emotion,0.602275
propaganda	falsehood,0.546184
adorn	decorate,0.659394
trim	cut,0.633038
adopt	implement,0.621212
Develop	build,0.681414
impoverish	enslave,0.591067
classic	style,0.475457
request	recommendation,0.511076
abstract	abstraction,0.679683
mirror	window,0.412364
israel	lebanon,0.657568
muscular	muscle,0.623488
drive	drove,0.512014
gland	duct,0.464004
scrawl	pen,0.437885
sometime	next,0.537842
exist	existence,0.517879
classroom	elementary,0.632912
marksman	defender,0.481388
prayer	pray,0.661705
door	window,0.62128
awhile	something,0.467481
enlist	join,0.534295
mold	condensation,0.383363
trip	journey,0.616494
physical	mental,0.584507
excerpt	article,0.556841
faithful	loyal,0.517577
floor	upstairs,0.514258
stake	ownership,0.493287
when	then,0.651351
actor	singer,0.567717
junta	dictatorship,0.484402
flood	deluge,0.622772
tin	copper,0.504024
rascal	bastard,0.540882
role	involvement,0.440524
digital	electronic,0.525168
test	exam,0.506585
holly	flower,0.521874
unwilling	reluctant,0.783428
frolic	prance,0.510664
smell	odor,0.763478
shrink	shrunk,0.633595
picture	photograph,0.64035
reconsider	reexamine,0.675349
faction	party,0.5169
handicap	maiden,0.400973
leak	leakage,0.634238
why	reason,0.613242
welcome	invite,0.517001
outreach	community,0.491376
diet	nutrition,0.592579
outback	desert,0.521972
fell	rose,0.768852
intent	intention,0.716941
warp	stale,0.349254
businessman	businessmen,0.626823
entrust	abdicate,0.466866
weekend	week,0.712993
balloon	parachute,0.521362
billion	million,0.805674
warn	beware,0.586785
culprit	reason,0.518641
bullet	pistol,0.51125
glass	bottle,0.53618
berlin	germany,0.553993
withhold	withheld,0.686633
jacket	shirt,0.661914
Fire	extinguish,0.524817
loyal	loyalty,0.57937
cheater	cheat,0.57857
teeth	tooth,0.69418
push	move,0.573285
serious	severe,0.61573
Empire	dynasty,0.528729
backward	toward,0.433233
subvert	undermine,0.630095
peacock	bird,0.509535
befriend	seduce,0.565966
doctor	physician,0.780602
chain	store,0.443428
impression	perception,0.539623
dance	dancer,0.691688
rob	steal,0.650747
hurl	flung,0.604295
rod	blade,0.460004
eldest	father,0.674881
invent	invention,0.586788
hawaii	alaska,0.608239
mild	severe,0.588741
supplement	augment,0.563064
grateful	thankful,0.89773
skin	hair,0.605396
chair	chairman,0.616144
rot	decay,0.566352
midst	amidst,0.528601
row	straight,0.584649
ballet	dance,0.675671
uneven	sluggish,0.524851
depend	dependent,0.724206
zone	area,0.430074
foe	opponent,0.679265
flash	camera,0.424435
