stock	inventory,0.428718
relax	chill,0.573663
successful	unsuccessful,0.574714
remark	comment,0.558855
hereby	forthwith,0.406362
reign	majesty,0.387453
hurt	ache,0.463312
grief	anguish,0.47343
phone	computer,0.525897
connecticut	massachusetts,0.684132
warm	cozy,0.56098
surgeon	doctor,0.579556
adult	adolescent,0.441885
excellent	outstanding,0.678524
organic	oat,0.458459
hole	rot,0.394855
hold	held,0.527467
tariff	subsidy,0.478682
influx	amount,0.444326
origin	exportation,0.444804
must	should,0.545693
shoot	shot,0.502136
tnt	heat,0.368604
word	phrase,0.578481
wore	wear,0.667712
err	every,0.370421
player	defender,0.508717
Text	reply,0.52016
sweeten	thicken,0.486771
work	practice,0.452168
somber	melancholy,0.535698
roof	fence,0.468814
whack	lame,0.58792
nazi	communist,0.549424
cuddle	hug,0.445051
era	decade,0.411596
install	upgrade,0.545086
akin	feeler,0.399997
root	coarseness,0.356734
transgress	misguide,0.594688
quarrel	disagreement,0.455397
phrase	word,0.578481
defer	acquit,0.448349
give	gave,0.640567
hemoglobin	viscosity,0.477293
unjust	oppressive,0.551279
household	family,0.409622
flung	thrown,0.601467
assent	impute,0.470572
heartless	selfish,0.595293
impair	inhibit,0.559697
caution	precaution,0.452787
want	need,0.583946
violin	piano,0.724808
mail	newspaper,0.424899
Lord	god,0.634353
keep	kept,0.665587
attract	create,0.453862
risk	threat,0.426291
end	culminate,0.370631
stride	steadiness,0.347095
anguish	sorrow,0.572474
travel	traveler,0.471581
Attention	sympathy,0.414957
vagrant	nebulous,0.393128
damage	harm,0.528363
revisit	recreate,0.492331
machine	system,0.388792
how	what,0.428745
amazing	incredible,0.763573
keel	convulse,0.35489
silent	quiet,0.533476
low	high,0.545455
hop	jump,0.413429
answer	reply,0.578767
gate	door,0.487555
widespread	severe,0.508775
ancestor	descendant,0.49912
beach	hammock,0.487542
blanket	comforter,0.621758
dialect	language,0.467174
fever	headache,0.499808
beauty	glamour,0.454972
mess	fuss,0.40722
cadillac	jeep,0.561147
ladder	rope,0.440736
after	before,0.458616
vicious	brutal,0.529813
ball	football,0.357911
less	more,0.577058
modest	reasonable,0.423298
mesh	adjustable,0.402379
mph	wind,0.429387
retain	regain,0.580119
waterfront	esplanade,0.527406
president	president-elect,0.575752
law	constitution,0.488948
arch	transom,0.341988
parallel	alternate,0.379899
stronghold	refuge,0.417739
profess	promulgate,0.449655
attempt	try,0.501286
splendid	wonderful,0.585968
third	fourth,0.783258
amid	amidst,0.642099
revolt	rebellion,0.511119
wisconson	deleware,0.550319
greet	meet,0.432172
childhood	loneliness,0.354484
greek	italian,0.5543
maintain	retain,0.540681
green	purple,0.557667
jungle	swamp,0.399979
goodbye	farewell,0.593458
suggest	recommend,0.591195
aloud	suppose,0.391979
fan	supporter,0.594575
Trust	confide,0.416127
wing	rib,0.396936
wind	humidity,0.551764
wine	whisky,0.619044
blind	deaf,0.632081
belong	meddle,0.373153
untold	unspeakable,0.454624
relaunch	launch,0.603321
devote	dedicate,0.569701
consent	permission,0.49152
over	overrode,0.338515
zen	tranquil,0.399698
unselfish	methodical,0.491142
sickly	sick,0.507528
Brand	product,0.384483
london	edinburgh,0.6411
keyboard	computer,0.515779
japan	taiwan,0.612202
windshield	driveway,0.471739
mayor	chairman,0.450105
Told	said,0.620497
unicef	charity,0.433321
Hit	smash,0.396781
gallon	bottle,0.545101
fit	qualify,0.376595
personal	private,0.457399
fix	solve,0.527712
blown	swept,0.46014
thrust	stiffly,0.390276
mongolia	nepal,0.482627
crew	team,0.509344
better	worse,0.558821
tramp	retard,0.463606
accord	sedan,0.436854
fig	hardtack,0.378122
fade	vanish,0.443462
mistreat	demean,0.54773
hidden	secret,0.465987
pass	fossilize,0.35758
split	cut,0.362203
then	than,0.419343
coffee	tea,0.668789
iowa	michigan,0.751532
woken	woke,0.622263
enrich	enhance,0.556248
thee	the,0.488486
safe	unsafe,0.405202
birth	baptism,0.388957
school	college,0.580077
trail	valley,0.393376
break	brake,0.631414
band	orchestra,0.499375
shameful	disgusting,0.623534
they	we,0.659724
interrupt	disturb,0.428635
township	county,0.607782
sixteen	seventeen,0.631362
lifelong	long-standing,0.428959
silver	gold,0.625104
bank	banker,0.391658
scholar	philosopher,0.463604
gloom	uncertainty,0.470349
grammar	diction,0.480078
meat	beef,0.544198
debut	comeback,0.50684
good	decent,0.580067
betroth	fossilize,0.692795
conflict	strife,0.477402
arrow	supernatural,0.397104
treason	sedition,0.573672
went	came,0.56166
meal	dinner,0.649922
bone	fracture,0.388776
mean	meant,0.524984
prohibit	restrict,0.557627
whim	literalness,0.389507
angola	ethiopia,0.726163
whig	coalition,0.448613
solution	remedy,0.491046
owner	ownership,0.492803
taught	told,0.533364
forgot	forget,0.542504
magazine	newspaper,0.488059
dawn	dusk,0.394114
Type	kind,0.612747
message	text,0.483197
whip	car,0.453915
clothe	cloth,0.484202
contend	compete,0.511491
depress	frustrate,0.51521
by	alongside,0.334749
unbound	discrepant,0.409813
network	program,0.433374
fraught	equivocal,0.517257
god	lord,0.634353
useless	worthless,0.695107
crucial	vital,0.69435
forty	twenty,0.670955
content	strategy,0.433583
fellowship	outreach,0.475365
laid	lay,0.497928
adjust	adapt,0.612282
adapt	adjust,0.612282
reader	viewer,0.484874
lain	polaria,0.358091
got	gotten,0.53256
washer	dryer,0.576383
partook	undertook,0.487975
sluggish	buoyant,0.491749
Ill	will,0.450471
outburst	tantrum,0.448051
smart	clever,0.552707
arizona	michigan,0.666316
barrier	dissention,0.420039
resume	submit,0.421724
veto	nullification,0.435643
hang	hung,0.532881
Work	practice,0.452168
lawless	sinister,0.420198
sheer	pure,0.520471
free	complementary,0.372759
standard	typical,0.452286
bestow	extol,0.53097
thoughtless	crass,0.507892
evil	devious,0.581923
mistress	wife,0.518567
hand	arm,0.557934
knit	wool,0.478268
fret	worry,0.554631
ate	eaten,0.593626
convent	church,0.421365
suburb	village,0.435892
ritual	routine,0.436867
cosmic	magical,0.404728
flawless	gorgeous,0.57533
renew	renewal,0.491315
hopeless	helpless,0.515471
regress	revert,0.421721
loud	obnoxious,0.535815
bite	lick,0.478732
ardour	shrewdness,0.655579
size	height,0.50036
rang	ring,0.462251
naughty	mischievous,0.504454
abolish	eliminate,0.541439
thereon	overlying,0.526606
grade	freshman,0.437793
giver	hearer,0.376721
ecuador	peru,0.702932
thereof	therefrom,0.441934
restrict	regulate,0.604884
wash	clean,0.553568
instruct	teach,0.527767
seven	six,0.735832
sober	drunk,0.490001
thick	thin,0.529346
ditch	dump,0.43155
bitten	beaten,0.50439
vow	pledge,0.457697
paris	berlin,0.564371
acquaint	familiarize,0.594477
their	his,0.619675
Mess	fuss,0.40722
timid	distrustful,0.453148
top	bottom,0.432422
neck	wrist,0.557201
historian	journalist,0.513919
fiction	non-fiction,0.59144
shiver	shudder,0.537652
master	beginner,0.399731
too	so,0.489219
dwell	dwelling,0.505328
recent	previous,0.598028
bitter	spiteful,0.496489
unbroken	armistice,0.39086
toe	thumb,0.556558
urban	rural,0.441288
Search	searcher,0.396437
murder	robbery,0.495445
asset	investment,0.53563
grandchildren	children,0.539469
luncheon	banquet,0.585954
took	take,0.604403
embellish	cheapen,0.447878
wisdom	knowledge,0.538722
scant	steep,0.364476
Benefit	cost,0.452847
motionless	desolation,0.35788
incur	impute,0.521951
western	eastern,0.660564
cereal	milk,0.541336
crawl	skulk,0.435091
peculiar	strange,0.60321
rebuff	capitulate,0.462854
breaker	broken,0.382712
mercy	compassion,0.430559
peril	subjection,0.422302
guild	cast,0.381905
target	goal,0.377206
elegant	stylish,0.647066
coward	traitor,0.566988
tree	leaf,0.423497
zero	thirty,0.436216
Sex	sexual,0.465464
project	presentation,0.53735
matter	dignify,0.383626
apt	apartment,0.710721
street	avenue,0.512202
guilt	remorse,0.512931
cabin	apartment,0.464657
iron	steel,0.505134
mirth	merriment,0.590152
devious	evil,0.581923
misunderstood	understood,0.427469
minus	except,0.435851
rag	cloth,0.351595
acclaim	adulation,0.474329
entail	require,0.481048
runner	swimmer,0.436359
boston	chicago,0.642012
modern	medieval,0.559314
mind	brain,0.423073
mine	ours,0.69061
ginger	jew,0.445641
taint	corrode,0.424189
raw	adulteration,0.360749
rat	squirrel,0.495057
seed	wheat,0.36785
manner	insinuation,0.517189
seen	heard,0.608185
seem	appear,0.460919
grind	hustle,0.541029
seek	sought,0.481385
dozen	handful,0.461454
Ass	bum,0.389886
ponder	contemplate,0.528735
strength	confidence,0.48651
realm	vastness,0.448399
alibi	imposture,0.336188
latter	insinuation,0.398437
uncouth	unfeeling,0.547705
snow	rain,0.600892
impotent	incompetent,0.482124
hamper	package,0.373227
chest	stomach,0.537562
client	customer,0.634645
punish	chastise,0.526855
transmit	substantiate,0.427764
pension	mortgage,0.548869
rider	ride,0.493388
blue	purple,0.650145
princess	queen,0.588273
hurtful	harsh,0.555083
panama	mexico,0.593814
rhodesia	south-america,0.566969
basket	bag,0.394731
shall	will,0.614138
iceland	spain,0.520377
object	aspect,0.461292
toil	shrewdness,0.411535
regular	normal,0.535993
mouth	throat,0.554175
addict	addiction,0.586063
letter	message,0.447622
phase	fossilize,0.35848
Patient	considerate,0.439859
drought	recession,0.458957
coin	taxpayer,0.4097
the	my,0.504116
grave	gravest,0.375489
Luck	congratulation,0.35237
zealand	australia,0.558625
hut	cottage,0.402699
singer	musician,0.6534
testament	bible,0.474784
antitrust	anti-trust,0.644902
grove	ridge,0.622064
professor	teacher,0.691273
impostor	autocrat,0.408271
metal	steel,0.566739
dog	cat,0.721537
yours	mine,0.644149
solemn	somber,0.516498
storm	blizzard,0.679146
aunt	grandma,0.780146
nineteenth	twentieth,0.662532
consumer	retail,0.529524
scream	yell,0.614464
came	come,0.59598
marvel	comic,0.399106
advent	easter,0.369604
discontent	disunity,0.49625
bomb	explosion,0.426747
pope	president,0.48656
endear	characterise,0.663271
saga	twilight,0.409508
visitor	tourist,0.448744
probe	investigation,0.634962
sage	smoky,0.402072
cake	cookie,0.54752
quench	satisfy,0.445979
radio	television,0.456559
poison	poisonous,0.478436
rector	president-elect,0.404325
earth	planet,0.532361
twist	whirl,0.343162
nevada	arizona,0.574866
bail	restitution,0.411812
bearer	dahomey,0.36979
toast	bread,0.572128
peru	ecuador,0.702932
acquit	absolve,0.533191
latent	incipient,0.548823
spite	midst,0.441858
quaint	picturesque,0.564275
Big	huge,0.662112
explain	describe,0.62925
myth	fallacy,0.442949
Game	match,0.480076
cupid	squirrel,0.354064
sugar	salt,0.513849
here	there,0.511573
athletic	muscular,0.463765
bush	mcgovern,0.376476
bliss	blissful,0.487549
disgust	infuriate,0.529273
mend	fix,0.456669
folder	file,0.537509
funeral	burial,0.542713
predecessor	sagacity,0.462526
do	did,0.506037
colorful	luxuriant,0.494481
conduct	civilise,0.46054
stop	quit,0.62036
fluid	granular,0.474477
coast	mainland,0.473723
pocket	hand,0.370942
guatemala	mexico,0.660114
roundabout	road,0.44239
wedding	graduation,0.527236
report	survey,0.469428
reconstruct	reestablish,0.516418
haiti	liberia,0.489536
Loud	obnoxious,0.535815
relish	indulge,0.386397
slack	lame,0.393945
bat	glove,0.357019
bar	restaurant,0.510746
distracting	distract,0.51353
politician	journalist,0.596266
boarder	border,0.635928
excel	fossilize,0.390318
patch	install,0.327922
bag	suitcase,0.593314
monumental	momentous,0.518194
wane	swift,0.332586
mourner	overjoy,0.421749
release	launch,0.58409
aesthetic	ethical,0.494074
steak	chicken,0.549228
enchant	bewilder,0.470964
valid	invalid,0.484327
farther	further,0.632993
respond	reply,0.718566
attest	surmise,0.480095
money	cash,0.573114
disaster	catastrophe,0.525513
fair	unfair,0.390516
habit	addiction,0.448118
liquor	beer,0.549782
lemonade	lemon,0.516051
blameless	peaceable,0.487817
resist	justify,0.464652
pilot	driver,0.398952
result	outcome,0.560196
corrupt	incompetent,0.555872
hero	legend,0.457137
scottish	irish,0.660187
yes	yeah,0.608606
best	greatest,0.58449
subject	topic,0.576706
brazil	portugal,0.612878
said	told,0.620497
Auto	automotive,0.476349
away	aside,0.3814
sail	fly,0.413665
gentleman	gentlemen,0.714571
rough	tough,0.536494
brandish	bereave,0.544133
mud	muddy,0.564885
irk	aggravate,0.659115
finger	thumb,0.609408
scorn	adulation,0.462164
drawn	draw,0.540062
previous	recent,0.598028
approach	oversimplify,0.452537
side	corner,0.375911
warrior	worrier,0.434835
we	they,0.659724
men	women,0.688459
extend	consolidate,0.492081
handful	few,0.598379
weak	lame,0.50184
vitamin	calcium,0.556198
boss	manager,0.43516
southeast	northwest,0.700886
wear	wore,0.667712
extent	severity,0.478154
upfront	honest,0.401908
cousin	sister,0.80591
debt	unemployment,0.53714
roller	plywood,0.343207
kitchen	bathroom,0.615507
pity	shame,0.497726
cop	policeman,0.562647
protect	defend,0.619443
accident	crash,0.558171
cow	goat,0.560147
disdain	contempt,0.575337
droop	chafe,0.402097
fault	problem,0.369517
fifth	third,0.690955
movement	momentum,0.41898
against	versus,0.505704
Bring	brought,0.549939
brag	complain,0.600608
misunderstand	generalize,0.487884
logic	justification,0.418977
studio	garage,0.401143
sunshine	sunlight,0.505612
flee	fled,0.51335
and	but,0.526272
station	radio,0.417215
tone	volume,0.432544
spear	sword,0.446292
character	antagonist,0.457628
vain	slothful,0.444876
excess	excessive,0.497852
incessant	constant,0.575893
canyon	creek,0.52313
written	wrote,0.527081
non	none,0.36174
trumpet	violin,0.58202
trust	confide,0.416127
speak	spoke,0.589824
accustom	industrialize,0.365678
bathroom	toilet,0.617702
iraq	yemen,0.595965
jobless	unemployed,0.603563
recur	encroach,0.531486
eager	anxious,0.555591
union	federation,0.456549
smash	demolish,0.457757
three	four,0.830572
erect	chafe,0.387218
blower	heater,0.487097
beep	whistle,0.373875
commission	committee,0.545352
charisma	shrewdness,0.462803
trigger	bullet,0.35985
communion	baptism,0.524293
afloat	intact,0.443479
interest	disinterest,0.444618
basic	simple,0.438188
fry	cook,0.477659
lovely	wonderful,0.715045
Soviet	ussr,0.624754
warmth	softness,0.549795
idol	glee,0.356163
board	council,0.459848
life	excitedness,0.421532
hearer	pleasantry,0.563306
spit	spill,0.469201
eastern	western,0.660564
suppress	perpetuate,0.553629
Cry	weep,0.522353
excite	fascinate,0.457365
uncommon	unusual,0.473761
wish	knew,0.441789
millionth	hundredth,0.566217
chill	relax,0.573663
craft	design,0.433175
chase	hunt,0.364438
chile	peru,0.646435
Night	evening,0.58169
catch	caught,0.489113
deepen	widen,0.539214
combat	military,0.435885
spin	hobble,0.393555
gracious	merciful,0.53242
physician	nurse,0.533673
exception	qualm,0.426503
terrible	horrible,0.885643
tank	greatcoat,0.38666
sly	clever,0.463025
affirm	reaffirm,0.496501
Dollar	pound,0.449265
air	water,0.365945
aim	strive,0.432411
ugly	unattractive,0.561153
near	close,0.494321
neat	cool,0.515496
motorist	policeman,0.490041
coffin	suitcase,0.442906
thrash	beat,0.406696
Follow	subscribe,0.417473
balance	coordination,0.402509
reunion	reunite,0.461353
anchor	reporter,0.396893
stink	smell,0.529862
conductor	driver,0.483669
have	had,0.558874
metropolitan	regional,0.416618
mexico	guatemala,0.660114
is	was,0.55319
it	you,0.447461
sting	venom,0.386122
shame	disgrace,0.502011
Bush	mcgovern,0.376476
eighteen	sixteen,0.609396
brake	break,0.631414
brutal	torturous,0.551177
jest	unsoundness,0.27125
in	on,0.428525
amour	imposture,0.389569
uplift	encourage,0.484447
shift	work,0.409086
disappear	vanish,0.651552
if	when,0.506091
grown	mature,0.45384
growl	whimper,0.541748
recover	heal,0.519283
soldier	army,0.48817
perform	sing,0.554536
parish	county,0.522637
make	made,0.496206
wound	scar,0.439854
airport	airplane,0.411119
rebellion	revolt,0.511119
forehead	cheek,0.584123
utilitarian	haphazard,0.597594
haphazard	practicable,0.611882
complex	altruistic,0.423595
descend	encroach,0.49191
monarch	coachman,0.377239
several	numerous,0.719117
european	scottish,0.598186
wheel	seat,0.418309
raid	operation,0.462457
fuss	argue,0.463765
catholic	jewish,0.615159
social	interpersonal,0.487998
rail	railroad,0.510175
rain	snow,0.600892
adventure	expedition,0.423244
delight	loveliness,0.408931
seamen	workingmen,0.390271
nix	plaintiff,0.349309
bavaria	austria,0.511308
kin	foible,0.321156
ownership	owner,0.492803
supper	dinner,0.696704
jealous	envious,0.560784
hideous	horrid,0.679353
haggard	hideous,0.401262
tune	song,0.456819
kid	guy,0.542253
butter	milk,0.537622
upturn	exigency,0.516037
vermont	colorado,0.62228
narrow	rigid,0.412786
dope	cool,0.465104
thy	thou,0.417537
dent	bruise,0.415112
itself	themselves,0.509882
smoker	drinker,0.53911
deal	agreement,0.459052
ocean	atlantic,0.46595
contact	consult,0.38733
greatest	best,0.58449
mother	father,0.609391
clerk	administrator,0.590387
alabama	kentucky,0.674756
musical	film,0.411581
left	leave,0.478825
stringent	strict,0.535381
protocol	procedure,0.472429
capitol	capital,0.510444
just	if,0.399464
yea	yeah,0.858165
photo	picture,0.578942
bruise	scar,0.558689
unfair	unreasonable,0.50607
marxism	ideology,0.627921
rodent	rat,0.481233
via	united-states,0.381703
spread	circulate,0.434985
victim	survivor,0.445602
plight	demise,0.479797
extol	exalt,0.642253
enlighten	educate,0.499242
thyroid	lung,0.533793
legion	cavalry,0.390221
had	have,0.558874
ideal	perfect,0.505319
hag	bastard,0.422357
hay	comestible,0.334494
shout	yell,0.41586
squad	team,0.595619
rumor	speculation,0.450221
prison	jail,0.66696
falter	stumble,0.446523
east	west,0.771603
hat	shirt,0.589731
gave	give,0.640567
desire	eagerness,0.475389
which	wherein,0.427605
freedom	independence,0.524527
Worth	worthy,0.412957
possible	acceptable,0.478765
arab	african,0.554758
boxer	gymnast,0.409411
background	wallpaper,0.453382
judge	criticize,0.465932
dreamt	thought,0.524579
shadow	silhouette,0.368519
burnt	burn,0.468979
Wing	rib,0.396936
retreat	congregational,0.438017
apart	asunder,0.357721
shoulder	ankle,0.575007
gift	present,0.443915
zeal	passion,0.463254
contradict	endear,0.491747
nude	naked,0.628227
hunt	hunter,0.433417
dishonest	shortsighted,0.54706
haemoglobin	platonism,0.546935
remind	tell,0.49404
transform	convert,0.503218
splendor	majesty,0.518024
night	evening,0.58169
hung	hang,0.532881
slept	spent,0.481551
battlefield	war,0.420221
right	rite,0.78742
dean	reverend,0.414283
creek	ridge,0.687946
crowd	audience,0.548142
people	folk,0.537132
czech	russian,0.521342
flatter	delude,0.401371
crown	royal,0.378631
System	program,0.490331
dead	dying,0.409917
revel	indulge,0.422823
Beer	wine,0.611484
escape	evade,0.447338
dear	darling,0.438326
animate	render,0.356362
manifest	manifestation,0.476656
intellect	creativity,0.527471
creep	freak,0.553202
sprawl	skulk,0.401484
Life	excitedness,0.421532
youthful	childlike,0.475647
humor	humour,0.743672
rhine	merchantile,0.450488
bottom	top,0.432422
Talk	speak,0.482733
establish	re-establish,0.642101
outspoken	opinionated,0.566974
fox	coyote,0.437666
ice	icy,0.526368
rancher	grape,0.401612
flounder	fish,0.407383
fog	snow,0.571436
convict	murderer,0.41809
adorable	cute,0.702817
christmas	easter,0.556484
officer	administrator,0.561307
cord	wire,0.48842
core	external,0.379001
shaker	powder,0.331217
Drop	throw,0.410913
Instant	automatic,0.437056
bold	smart,0.427021
peel	scrape,0.424111
defend	protect,0.619443
brawl	scuffle,0.575514
corn	wheat,0.605561
burn	burnt,0.468979
blackmail	bribe,0.485717
discount	sale,0.532832
yoke	unsureness,0.372167
bolt	lightning,0.408071
peer	literalness,0.355343
post	article,0.442033
super	supper,0.475859
shaken	shook,0.447208
proceed	continue,0.484026
chafe	rub,0.453292
crass	prejudicial,0.597317
gulf	pacific,0.515792
conceal	suppress,0.471468
Image	picture,0.513064
uranium	coal,0.5398
choke	strangle,0.493241
surround	besiege,0.425057
essential	vital,0.553569
dinner	lunch,0.727237
despair	apathy,0.525985
banker	solicitor,0.460252
horizon	veil,0.416076
cherish	appreciate,0.474866
commit	recruit,0.470016
aden	ethiopia,0.33467
twitch	convulse,0.409499
rebut	substantiate,0.417881
bombard	inundate,0.583183
croak	faint,0.401033
bath	shower,0.654101
sob	cry,0.467127
dilemma	quandary,0.5482
civic	suburban,0.446032
civil	constitutional,0.533204
honeymoon	vacation,0.544
profession	livelihood,0.454733
bound	ready,0.353556
son	daughter,0.607324
down	up,0.408759
thankful	grateful,0.779357
ussr	soviet,0.624754
wrap	pack,0.390963
old	outdated,0.368317
insult	ostracize,0.492618
slim	fat,0.362531
squander	embitter,0.493712
yawn	gasp,0.455599
fabric	decorative,0.519291
pearl	silver,0.483319
disinterest	exasperation,0.488761
support	supporter,0.467058
tennis	football,0.605396
sovereign	debtor,0.461027
sunlight	sun,0.534166
payment	transaction,0.51311
avail	available,0.730229
stuck	caught,0.473244
aristocrat	affable,0.440789
fought	fight,0.588368
editor	writer,0.558962
fraction	restatement,0.440771
goddamn	damn,0.766021
gin	whisky,0.50956
bolivia	guatemala,0.627724
war	warfare,0.49964
telegraph	guardian,0.553445
fork	knife,0.540408
School	college,0.580077
head	chest,0.472076
medium	large,0.56887
amateur	novice,0.425095
form	amelioration,0.429839
offer	bid,0.464594
something	anything,0.578362
magnificent	spectacular,0.672972
heal	recover,0.519283
cuban	mexican,0.604859
oil	gas,0.532888
maxim	glamour,0.373749
peninsula	village,0.45291
heat	heater,0.441128
hear	heard,0.567839
solar	industrial,0.426081
Defeat	victory,0.528316
safeguard	protect,0.548866
true	real,0.417689
analyst	engineer,0.634986
otter	squirrel,0.425902
week	month,0.70459
absent	tardy,0.404371
counsel	admonition,0.440315
misinform	subjugate,0.606085
flavour	flavor,0.766397
accost	mishandle,0.555571
muster	conjure,0.478013
utmost	unwavering,0.462369
reap	harvest,0.46293
bargain	discount,0.465108
crop	cut,0.387267
until	till,0.838112
retire	resign,0.557291
marsh	baker,0.40089
pest	nuisance,0.425782
anew	platonism,0.342378
emotional	sentimental,0.489446
propaganda	ideology,0.506745
adorn	song,0.396186
trim	cut,0.471756
adopt	kidnap,0.473922
Develop	build,0.52943
impoverish	subjugate,0.61081
classic	classical,0.451737
request	suggestion,0.490286
abstract	illustration,0.52458
mirror	reflection,0.415153
israel	iran,0.656675
muscular	masculine,0.52901
drive	drove,0.581771
gland	artery,0.451597
scrawl	civilise,0.432545
sometime	soon,0.454057
exist	discriminate,0.396651
classroom	room,0.535361
marksman	mechanic,0.411908
prayer	repentance,0.488772
door	window,0.61114
awhile	while,0.544005
enlist	enroll,0.422335
mold	condensation,0.382343
trip	flight,0.486517
physical	psychological,0.451624
excerpt	article,0.46913
faithful	loyal,0.70152
floor	ground,0.469816
nicaragua	ecuador,0.646641
stake	workingman,0.357512
when	whenever,0.549084
cambodia	nepal,0.565277
junta	comer,0.411542
flood	storm,0.46367
tin	jar,0.394874
rascal	bastard,0.413227
role	position,0.50467
digital	electronic,0.493399
test	exam,0.628949
holly	holy,0.502198
unwilling	willing,0.637555
frolic	prance,0.485348
smell	taste,0.553029
shrink	decrease,0.47354
picture	photo,0.578942
reconsider	reexamine,0.534778
faction	sect,0.453815
handicap	stall,0.40989
leak	leakage,0.424278
why	how,0.402493
welcome	thank,0.370256
outreach	advocacy,0.566456
diet	nutrition,0.507875
outback	buffalo,0.404638
fell	slid,0.602381
intent	intention,0.601489
warp	nuclei,0.361853
businessman	politician,0.530776
entrust	embitter,0.489194
weekend	week,0.595017
careful	cautious,0.493148
balloon	bottle,0.404107
billion	million,0.785659
warn	inform,0.466744
culprit	victim,0.392116
bullet	grenade,0.415788
glass	bottle,0.522342
berlin	london,0.566727
withhold	disclose,0.461863
jacket	coat,0.678099
Fire	flame,0.465082
loyal	faithful,0.70152
cheater	liar,0.651683
